Specie (common name;Specie (latin name);Functional group;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Greater forkbeard;Phycis blennoides;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Gulper shark;Centrophorus granulosus;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Knifetooth dogfish;Scymnodon ringens;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Portuguese dogfish;Centroscymnus coelolepis;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Red pandora;Pagellus bellotti;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Salema;Sarpa salpa;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Senegalese hake;Merluccius senegalensis;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Silver scabbardfish;Lepidopus caudatus;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Spiny scorpionfish;Trachyscorpia cristulata echinata;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Undulate ray;Raja undulata;Medium benthopelagics;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0024-0.0083;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.00067-0.0014;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0024-0.0083;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024;0.0014-0.0024
Basking shark ;Cetorhinus maximus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Boarfish;Capros aper;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Bramble shark;Echinorhinus brucus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Bullet tuna;Auxis rochei;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Giant red shrimp;Aristaeomorpha foliacea;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Leerfish;Lichia amia;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Lowfin gulper shark;Centrophorus lusitanicus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Pouting;Trisopterus luscus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Red mullet;Mullus barbatus barbatus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Round sardinelle;Sardinella aurita;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Scarlet shrimp;Plesiopenaeus edwardsianus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Sharpsnout seabream;Diplodus puntazzo;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
